  MQ2,MQ7,MQ135,MQ3,Temperature,Humidity,Radius,Lenth
  1704,  1032,  1079,    882 ,28.00 ,51.00 ,31 ,12
  1703,  1031,  1078,    883 ,28.00 ,51.00 ,31 ,12
  1703,  1030,  1078,    883 ,28.00 ,51.00 ,31 ,12
  1704,  1030,  1078,    883 ,28.00 ,51.00 ,31 ,12
  1705,  1030,  1078,    884 ,28.00 ,51.00 ,31 ,12
  1705,  1030,  1078,    884 ,28.00 ,51.00 ,31 ,12
  1708,  1029,  1077,    884 ,28.00 ,51.00 ,31 ,12
  1707,  1029,  1077,    886 ,28.00 ,51.00 ,31 ,12
  1706,  1029,  1076,    886 ,28.00 ,51.00 ,31 ,12
  1707,  1030,  1077,    887 ,28.00 ,51.00 ,31 ,12
  1705,  1030,  1076,    887 ,28.00 ,51.00 ,31 ,12
  1705,  1030,  1077,    888 ,28.00 ,51.00 ,31 ,12
  1704,  1029,  1076,    888 ,28.00 ,51.00 ,31 ,12
  1703,  1029,  1077,    888 ,28.00 ,51.00 ,31 ,12
  1704,  1030,  1077,    888 ,28.00 ,51.00 ,31 ,12
  1704,  1030,  1077,    889 ,28.00 ,51.00 ,31 ,12
  1704,  1030,  1078,    888 ,28.00 ,51.00 ,31 ,12
  1704,  1031,  1078,    889 ,28.00 ,51.00 ,31 ,12
  1705,  1030,  1078,    889 ,28.00 ,51.00 ,31 ,12
  1704,  1031,  1078,    889 ,28.00 ,51.00 ,31 ,12
  1706,  1031,  1077,    890 ,28.00 ,51.00 ,31 ,12
  1704,  1031,  1078,    890 ,28.00 ,51.00 ,31 ,12
  1706,  1030,  1077,    890 ,28.00 ,51.00 ,31 ,12
  1706,  1031,  1077,    890 ,28.00 ,51.00 ,31 ,12
  1708,  1030,  1078,    890 ,28.00 ,52.00 ,31 ,12
  1707,  1031,  1077,    891 ,28.00 ,52.00 ,31 ,12
  1706,  1033,  1078,    891 ,28.00 ,52.00 ,31 ,12
  1707,  1032,  1078,    892 ,28.00 ,52.00 ,31 ,12
  1705,  1034,  1078,    892 ,28.00 ,52.00 ,31 ,12
  1706,  1032,  1077,    892 ,28.00 ,52.00 ,31 ,12
  1706,  1032,  1077,    891 ,28.00 ,52.00 ,31 ,12
  1707,  1032,  1078,    892 ,28.00 ,52.00 ,31 ,12
  1707,  1032,  1078,    892 ,28.00 ,52.00 ,31 ,12
  1706,  1032,  1078,    892 ,28.00 ,52.00 ,31 ,12
  1707,  1033,  1078,    893 ,28.00 ,52.00 ,31 ,12
  1705,  1033,  1079,    893 ,28.00 ,52.00 ,31 ,12
  1708,  1033,  1079,    893 ,28.00 ,52.00 ,31 ,12
  1708,  1033,  1079,    894 ,28.00 ,52.00 ,31 ,12
  1707,  1033,  1079,    893 ,28.00 ,52.00 ,31 ,12
  1705,  1032,  1080,    894 ,28.00 ,52.00 ,31 ,12
  1706,  1033,  1079,    894 ,28.00 ,52.00 ,31 ,12
  1705,  1034,  1079,    894 ,28.00 ,52.00 ,31 ,12
  1707,  1032,  1078,    895 ,28.00 ,52.00 ,31 ,12
  1708,  1034,  1078,    894 ,28.00 ,52.00 ,31 ,12
  1708,  1034,  1078,    895 ,28.00 ,52.00 ,31 ,12
  1707,  1034,  1078,    895 ,28.00 ,52.00 ,31 ,12
  1708,  1034,  1078,    896 ,28.00 ,52.00 ,31 ,12
  1707,  1034,  1077,    895 ,28.00 ,52.00 ,31 ,12
  1705,  1033,  1078,    897 ,28.00 ,52.00 ,31 ,12
  1707,  1033,  1077,    896 ,28.00 ,52.00 ,31 ,12
  1707,  1033,  1077,    897 ,28.00 ,52.00 ,31 ,12
  1710,  1034,  1076,    897 ,28.00 ,52.00 ,31 ,12
  1710,  1033,  1077,    896 ,28.00 ,52.00 ,31 ,12
  1709,  1033,  1076,    896 ,28.00 ,52.00 ,31 ,12
  1713,  1033,  1077,    897 ,28.00 ,52.00 ,31 ,12
  1713,  1034,  1076,    897 ,28.00 ,52.00 ,31 ,12
  1710,  1034,  1077,    897 ,28.00 ,52.00 ,31 ,12
  1712,  1034,  1076,    899 ,28.00 ,52.00 ,31 ,12
  1710,  1033,  1076,    897 ,28.00 ,53.00 ,31 ,12
  1713,  1035,  1076,    898 ,28.00 ,53.00 ,31 ,12
  1711,  1034,  1076,    899 ,28.00 ,53.00 ,31 ,12
  1711,  1034,  1076,    899 ,28.00 ,53.00 ,31 ,12
  1712,  1034,  1076,    899 ,28.00 ,53.00 ,31 ,12
  1710,  1034,  1076,    899 ,28.00 ,53.00 ,31 ,12
  1711,  1033,  1076,    899 ,28.00 ,53.00 ,31 ,12
  1711,  1034,  1076,    899 ,28.00 ,53.00 ,31 ,12
  1710,  1034,  1076,    899 ,28.00 ,53.00 ,31 ,12
  1711,  1033,  1076,    899 ,28.00 ,53.00 ,31 ,12
  1712,  1034,  1076,    899 ,28.00 ,53.00 ,31 ,12
  1711,  1033,  1076,    900 ,28.00 ,53.00 ,31 ,12
  1712,  1033,  1075,    900 ,28.00 ,53.00 ,31 ,12
  1713,  1033,  1077,    901 ,27.00 ,54.00 ,31 ,12
  1709,  1033,  1076,    901 ,27.00 ,54.00 ,31 ,12
  1709,  1034,  1078,    901 ,27.00 ,54.00 ,31 ,12
  1709,  1034,  1077,    902 ,27.00 ,54.00 ,31 ,12
