2023-04-11,00:21:55  2705,  2235,  1151,30.00 ,41.00
2023-04-11,00:21:56  2702,  2234,  1141,30.00 ,41.00
2023-04-11,00:21:56  2701,  2231,  1133,30.00 ,41.00
2023-04-11,00:21:57  2698,  2228,  1123,30.00 ,41.00
2023-04-11,00:21:58  2695,  2226,  1116,30.00 ,41.00
2023-04-11,00:21:58  2694,  2225,  1107,30.00 ,41.00
2023-04-11,00:21:59  2691,  2224,  1099,30.00 ,41.00
2023-04-11,00:21:59  2692,  2223,  1093,30.00 ,41.00
2023-04-11,00:22:02  2681,  2216,  1063,30.00 ,41.00
2023-04-11,00:22:03  2679,  2216,  1060,30.00 ,41.00
2023-04-11,00:22:04  2679,  2215,  1055,30.00 ,41.00
2023-04-11,00:22:04  2677,  2214,  1051,30.00 ,41.00
2023-04-11,00:22:05  2676,  2213,  1048,30.00 ,41.00
2023-04-11,00:22:24  2712,  2241,  1142,29.00 ,42.00
2023-04-11,00:22:25  2715,  2242,  1136,29.00 ,42.00
2023-04-11,00:22:28  2729,  2250,  1111,29.00 ,42.00
2023-04-11,00:22:29  2729,  2251,  1105,29.00 ,42.00
2023-04-11,00:22:29  2729,  2251,  1098,29.00 ,42.00
2023-04-11,00:22:30  2730,  2252,  1093,29.00 ,42.00
2023-04-11,00:22:30  2730,  2253,  1087,29.00 ,42.00
2023-04-11,00:22:31  2731,  2254,  1083,29.00 ,42.00
2023-04-11,00:22:32  2731,  2256,  1077,29.00 ,42.00
2023-04-11,00:22:32  2732,  2257,  1074,29.00 ,42.00
2023-04-11,00:22:33  2732,  2258,  1071,29.00 ,42.00
2023-04-11,00:22:33  2735,  2260,  1070,29.00 ,42.00
2023-04-11,00:22:34  2738,  2262,  1070,29.00 ,42.00
2023-04-11,00:22:34  2739,  2264,  1068,29.00 ,42.00
2023-04-11,00:22:35  2741,  2265,  1066,29.00 ,42.00
2023-04-11,00:22:36  2742,  2267,  1065,29.00 ,42.00
2023-04-11,00:22:36  2742,  2269,  1062,29.00 ,42.00
2023-04-11,00:22:37  2742,  2270,  1061,29.00 ,43.00
2023-04-11,00:22:37  2743,  2270,  1061,29.00 ,43.00
2023-04-11,00:22:38  2742,  2270,  1061,29.00 ,43.00
2023-04-11,00:22:38  2742,  2271,  1059,29.00 ,43.00
2023-04-11,00:22:39  2739,  2271,  1059,29.00 ,43.00
2023-04-11,00:22:39  2740,  2271,  1057,29.00 ,43.00
2023-04-11,00:22:40  2739,  2271,  1056,29.00 ,43.00
2023-04-11,00:22:41  2737,  2270,  1055,29.00 ,43.00
2023-04-11,00:22:41  2735,  2270,  1055,29.00 ,43.00
2023-04-11,00:22:42  2732,  2269,  1054,29.00 ,43.00
2023-04-11,00:22:42  2729,  2269,  1054,29.00 ,43.00
2023-04-11,00:22:43  2726,  2268,  1052,29.00 ,43.00
2023-04-11,00:22:43  2725,  2267,  1053,29.00 ,43.00
2023-04-11,00:22:44  2722,  2266,  1052,29.00 ,43.00
2023-04-11,00:22:45  2718,  2265,  1052,29.00 ,42.00
